vendor	model	board_id
Acer	Aspire 5742	LA-5894P
Acer	Aspire A515-51G	LA-E892P
Acer	Aspire A515-53K	PIKACHU_KL 18801-1M
Acer	Aspire A515-57G	LA-M211P
Acer	Aspire AOD255 DDR2	PAV70 LA-6221P
Acer	Aspire AV15-51	LA-K092P
Acer	Aspire E5-571G	LA-B991P
Acer	Aspire M3-581TG	JM50
Acer	Aspire One D150	LA-4781P
Acer	Nitro 5 AN515-55	LA-J891P
Acer	Nitro AN16-41	DAZGUMB1AD0
Acer	Nitro AN515-44	LA-K181P
Acer	Nitro AN515-46	LA-M002P
Acer	Nitro AN515-54	LA-H501P
Acer	Nitro AN515-55	LA-J871P
Acer	Nitro AN515-56	LA-L051P
Acer	Nitro AN517-42	LA-M002P
Acer	Nitro AN517-52	LA-K861P
Acer	Spin SP513-51	16801-1M
Acer	Swift 3 314-43	LA-L141P
Acer	Swift SF314-71 Starfish_ADH_Cypress	nb2633a_mb_v2
Acer	Swift SF314-71 Starfish_ADH_TI	
Acer	TravelMate Spin B311R-31	NB2372_MB_V6_PCB
Acer	TravelMate Spin B311R-31	TMB311R-32 Quanta ZBK/ZBKA r1A
Acer	Veriton Z4820G	15033-1M
Dell	Alienware 13 R2	LA-C901P
Dell	Alienware 14	LA-9201P
Dell	Alienware 15 R3	LA-D751P
Dell	Alienware 15 R3	LA-D753P
Dell	Alienware 17 R4	BAP20 LA-D753P
Dell	Alienware 17 R5	LA-F551P
Dell	Alienware Alpha R2	IPPSL-CR NV
Dell	Alienware Area-51 Threadripper Edition R7	MS-7B03
Dell	Alienware Area-51m	DDQ70 LA-G881P
Dell	Alienware Aurora R11	IPCML-SH
Dell	Alienware M15 R3	LA-J521P
Dell	Alienware M15 R4	LA-K741P
Dell	Alienware M15 Ryzen Edition R5	LA-K453P
Dell	Alienware M15 Ryzen Edition R6	LA-K454P
Dell	Alienware M18 R1	Infinity RPL-HX 213194-1
Dell	Alienware x14	LA-L381P
Dell	Alienware x15/x17 R1	LA-K472P
Dell	Dell Pro 16 Plus PB16250 Corporate	233075-1
Dell	G15 5510	GDL55 LA-K662P
Dell	G15 5511	GDL58 LA-K455P
Dell	G15 5511 Consumer	LA-K452P
Dell	G15 5515 Ryzen Edition	LA-K454P
Dell	G15 5521	LA-L659P
Dell	G15 5525	LA-L658P
Dell	G16 7630	LA-M531P
Dell	G3 15 3590	18825-1
Dell	G3 15 3590	18839-1
Dell	G3 15 3590	N18E MB 18812-1
Dell	G3 3500 Consumer H	19795-1
Dell	G3 3579	LA-F611
Dell	G3 3779	LA-F612P
Dell	G5 15 5500 Consumer H	19753-1
Dell	G5 15 5587	LA-E993P
Dell	G5 5587	LA-E994P
Dell	Inspiron 13 5310 Consumer LP	Moonknight N13 TGL 203121-1
Dell	Inspiron 13 5368 2-in-1	15296-1
Dell	Inspiron 14 5401	Mockingbird Icl MB 8L 19775-1
Dell	Inspiron 14 5410 2-in-1 Consumer	WatchMenTgl 203071-1
Dell	Inspiron 14 5435	Quake N14_N16 AMD BCL-R 223095
Dell	Inspiron 14 7460	LA-D822P
Dell	Inspiron 14-3467	vegas turis skl/kbl 15341-1
Dell	Inspiron 14z 5423	11289-1
Dell	Inspiron 15 3511	GDM50 LA-L241P
Dell	Inspiron 15 3515	LA-245P
Dell	Inspiron 15 3525	LA-L945P
Dell	Inspiron 15 3535	LA-M365P
Dell	Inspiron 15 3576	17841-1
Dell	Inspiron 15 Gaming 5577	DAAM9BMBAD0 REV:D
Dell	Inspiron 15 Gaming 7567	BBV00/10 LA-D993P
Dell	Inspiron 15 Gaming 7577	LA-E991P
Dell	Inspiron 15-3567	15341-1 91N85
Dell	Inspiron 1545	08224-1
